window,TP,FP,FN,precision,recall,f1,generate,validate,ml_time,fpg_time,apr_time,apriori_cand,ml_candidate,num_generated,num_ground_truth
1000,12,0,7,1.0,0.631578947368421,0.7741935483870968,0.08,0.19,0.27,0.27,0.1,80,74,12,19
1010,12,0,7,1.0,0.631578947368421,0.7741935483870968,0.1,0.18,0.28,0.26,0.08,80,74,12,19
1020,12,0,7,1.0,0.631578947368421,0.7741935483870968,0.08,0.18,0.26,0.27,0.09,80,74,12,19
1030,12,0,7,1.0,0.631578947368421,0.7741935483870968,0.09,0.26,0.35,0.26,0.07,80,74,12,19
1040,12,0,7,1.0,0.631578947368421,0.7741935483870968,0.08,0.19,0.27,0.27,0.13,80,74,12,19
1050,12,0,7,1.0,0.631578947368421,0.7741935483870968,0.08,0.2,0.28,0.29,0.09,80,74,12,19
1060,12,0,7,1.0,0.631578947368421,0.7741935483870968,0.08,0.18,0.26,0.25,0.07,80,74,12,19
1070,12,0,7,1.0,0.631578947368421,0.7741935483870968,0.09,0.18,0.27,0.25,0.08,80,74,12,19
1080,12,0,7,1.0,0.631578947368421,0.7741935483870968,0.06,0.16,0.22,0.23,0.08,80,74,12,19
1090,12,0,7,1.0,0.631578947368421,0.7741935483870968,0.08,0.17,0.25,0.23,0.07,80,74,12,19
