window,TP,FP,FN,precision,recall,f1,generate,validate,ml_time,fpg_time,apr_time,apriori_cand,ml_candidate,num_generated,num_ground_truth
1000,22,0,6,1.0,0.7857142857142857,0.88,0.23,0.34,0.5700000000000001,0.26,0.2,255,222,22,28
1010,22,0,6,1.0,0.7857142857142857,0.88,0.5,0.43,0.9299999999999999,0.24,0.18,255,222,22,28
1020,22,0,6,1.0,0.7857142857142857,0.88,0.41,0.43,0.84,0.33,0.26,255,222,22,28
1030,22,0,6,1.0,0.7857142857142857,0.88,0.41,0.49,0.8999999999999999,0.31,0.16,255,222,22,28
1040,22,0,6,1.0,0.7857142857142857,0.88,0.39,0.51,0.9,0.26,0.16,255,222,22,28
1050,22,0,6,1.0,0.7857142857142857,0.88,0.41,0.39,0.8,0.26,0.22,255,222,22,28
1060,22,0,6,1.0,0.7857142857142857,0.88,0.48,0.44,0.9199999999999999,0.32,0.32,255,222,22,28
1070,22,0,6,1.0,0.7857142857142857,0.88,0.39,0.39,0.78,0.3,0.23,255,222,22,28
1080,22,0,6,1.0,0.7857142857142857,0.88,0.38,0.4,0.78,0.26,0.23,255,222,22,28
1090,22,0,6,1.0,0.7857142857142857,0.88,0.5,0.7,1.2,0.46,0.26,255,222,22,28
