window,TP,FP,FN,precision,recall,f1,generate,validate,ml_time,fpg_time,apr_time,apriori_cand,ml_candidate,num_generated,num_ground_truth
1000,12,0,17,1.0,0.41379310344827586,0.5853658536585366,0.1,0.17,0.27,0.41,0.1,94,88,12,29
1010,12,0,17,1.0,0.41379310344827586,0.5853658536585366,0.06,0.15,0.21,0.41,0.08,94,88,12,29
1020,12,0,17,1.0,0.41379310344827586,0.5853658536585366,0.07,0.16,0.23,0.43,0.15,94,88,12,29
1030,12,0,16,1.0,0.42857142857142855,0.6,0.07,0.15,0.22,0.45,0.08,91,85,12,28
1040,12,0,16,1.0,0.42857142857142855,0.6,0.07,0.16,0.23,0.4,0.1,91,85,12,28
1050,12,0,16,1.0,0.42857142857142855,0.6,0.08,0.19,0.27,0.41,0.08,91,85,12,28
1060,12,0,16,1.0,0.42857142857142855,0.6,0.07,0.16,0.23,0.69,0.17,91,85,12,28
1070,12,0,16,1.0,0.42857142857142855,0.6,0.13,0.29,0.42,0.46,0.1,91,85,12,28
1080,12,0,16,1.0,0.42857142857142855,0.6,0.11,0.2,0.31,0.44,0.09,91,85,12,28
1090,12,0,16,1.0,0.42857142857142855,0.6,0.11,0.2,0.31,0.53,0.1,91,85,12,28
