window,TP,FP,FN,precision,recall,f1,generate,validate,ml_time,fpg_time,apr_time,apriori_cand,ml_candidate,num_generated,num_ground_truth
1000,12,0,4,1.0,0.75,0.8571428571428571,0.29,0.37,0.6599999999999999,0.19,0.08,78,77,12,16
1010,12,0,4,1.0,0.75,0.8571428571428571,0.06,0.29,0.35,0.19,0.09,78,77,12,16
1020,12,0,4,1.0,0.75,0.8571428571428571,0.06,0.29,0.35,0.2,0.1,78,77,12,16
1030,12,0,4,1.0,0.75,0.8571428571428571,0.13,0.37,0.5,0.26,0.15,78,77,12,16
1040,12,0,4,1.0,0.75,0.8571428571428571,0.14,0.41,0.55,0.26,0.09,78,77,12,16
1050,12,0,4,1.0,0.75,0.8571428571428571,0.13,0.35,0.48,0.23,0.16,78,77,12,16
1060,12,0,4,1.0,0.75,0.8571428571428571,0.1,0.35,0.44999999999999996,0.22,0.09,78,77,12,16
1070,12,0,4,1.0,0.75,0.8571428571428571,0.11,0.45,0.56,0.22,0.1,78,77,12,16
1080,12,0,4,1.0,0.75,0.8571428571428571,0.11,0.37,0.48,0.22,0.09,78,77,12,16
1090,12,0,4,1.0,0.75,0.8571428571428571,0.12,0.39,0.51,0.25,0.13,78,77,12,16
