window,TP,FP,FN,precision,recall,f1,latency_sec,num_generated,num_ground_truth
1000,27,0,2,1.0,0.9310344827586207,0.9642857142857143,0.1987760066986084,27,29
1010,20,0,2,1.0,0.9090909090909091,0.9523809523809523,0.1383962631225586,20,22
1020,21,0,2,1.0,0.9130434782608695,0.9545454545454545,0.2053215503692627,21,23
1030,28,0,2,1.0,0.9333333333333333,0.9655172413793104,0.18025684356689453,28,30
1040,27,0,2,1.0,0.9310344827586207,0.9642857142857143,0.1724720001220703,27,29
1050,25,0,2,1.0,0.9259259259259259,0.9615384615384615,0.2760806083679199,25,27
1060,30,0,2,1.0,0.9375,0.967741935483871,0.8653895854949951,30,32
1070,34,0,2,1.0,0.9444444444444444,0.9714285714285714,0.5204243659973145,34,36
1080,27,0,2,1.0,0.9310344827586207,0.9642857142857143,0.4126269817352295,27,29
1090,26,0,2,1.0,0.9285714285714286,0.962962962962963,0.43201160430908203,26,28
1100,24,0,2,1.0,0.9230769230769231,0.9600000000000001,0.3955659866333008,24,26
1110,23,0,2,1.0,0.92,0.9583333333333334,0.4271273612976074,23,25
1120,25,0,2,1.0,0.9259259259259259,0.9615384615384615,0.5888147354125977,25,27
1130,24,0,1,1.0,0.96,0.9795918367346939,0.3863656520843506,24,25
1140,23,0,1,1.0,0.9583333333333334,0.9787234042553191,0.29317665100097656,23,24
1150,22,0,1,1.0,0.9565217391304348,0.9777777777777777,0.28646397590637207,22,23
1160,19,0,1,1.0,0.95,0.9743589743589743,0.25377631187438965,19,20
1170,18,0,1,1.0,0.9473684210526315,0.972972972972973,0.20978832244873047,18,19
1180,16,0,1,1.0,0.9411764705882353,0.9696969696969697,0.22730612754821777,16,17
1190,19,0,1,1.0,0.95,0.9743589743589743,0.34300875663757324,19,20
1200,18,0,1,1.0,0.9473684210526315,0.972972972972973,0.28429126739501953,18,19
1210,22,0,1,1.0,0.9565217391304348,0.9777777777777777,0.33615565299987793,22,23
1220,18,0,1,1.0,0.9473684210526315,0.972972972972973,0.22758054733276367,18,19
1230,14,0,1,1.0,0.9333333333333333,0.9655172413793104,0.17499637603759766,14,15
1240,16,0,1,1.0,0.9411764705882353,0.9696969696969697,0.21588397026062012,16,17
1250,16,0,1,1.0,0.9411764705882353,0.9696969696969697,0.18885231018066406,16,17
1260,17,0,1,1.0,0.9444444444444444,0.9714285714285714,0.22249817848205566,17,18
1270,16,0,1,1.0,0.9411764705882353,0.9696969696969697,0.21899628639221191,16,17
1280,22,0,1,1.0,0.9565217391304348,0.9777777777777777,0.26330137252807617,22,23
1290,19,0,1,1.0,0.95,0.9743589743589743,0.2141275405883789,19,20
1300,24,0,1,1.0,0.96,0.9795918367346939,0.3055567741394043,24,25
1310,23,0,1,1.0,0.9583333333333334,0.9787234042553191,0.3145461082458496,23,24
1320,25,0,1,1.0,0.9615384615384616,0.9803921568627451,0.3392038345336914,25,26
1330,27,0,1,1.0,0.9642857142857143,0.9818181818181818,0.3742678165435791,27,28
1340,22,0,1,1.0,0.9565217391304348,0.9777777777777777,0.2722651958465576,22,23
1350,22,0,1,1.0,0.9565217391304348,0.9777777777777777,0.24926471710205078,22,23
1360,18,0,1,1.0,0.9473684210526315,0.972972972972973,0.20595836639404297,18,19
1370,15,0,1,1.0,0.9375,0.967741935483871,0.1965649127960205,15,16
1380,13,0,1,1.0,0.9285714285714286,0.962962962962963,0.16597890853881836,13,14
1390,16,0,1,1.0,0.9411764705882353,0.9696969696969697,0.2570188045501709,16,17
1400,16,0,1,1.0,0.9411764705882353,0.9696969696969697,0.2649061679840088,16,17
1410,17,0,1,1.0,0.9444444444444444,0.9714285714285714,0.2681996822357178,17,18
