window_start,ML_Time,FPG_Time,Precision,Recall,F1,ML_Count,GT_Count,ML_Candidate,Apriori_Candi,Gen_Time,Val_Time,Apriori_Time
0,0.3951988220214844,0.06262898445129395,1.0,1.0,1.0,22.0,22.0,171.0,195.0,0.13108158111572266,0.1762244701385498,0.05201888084411621
100,0.3114650249481201,0.09147119522094727,1.0,1.0,1.0,24.0,24.0,189.0,214.0,0.0844564437866211,0.16437387466430664,0.06655740737915039
200,0.404616117477417,0.07516884803771973,1.0,1.0,1.0,23.0,23.0,189.0,214.0,0.09942126274108887,0.23750877380371094,0.050368547439575195
300,0.40700531005859375,0.1082606315612793,1.0,1.0,1.0,24.0,24.0,209.0,234.0,0.11487841606140137,0.2163865566253662,0.06470751762390137
400,0.7122747898101807,0.1257162094116211,1.0,1.0,1.0,23.0,23.0,189.0,214.0,0.21003484725952148,0.3702726364135742,0.0836482048034668
500,0.615225076675415,0.10263395309448242,1.0,1.0,1.0,25.0,25.0,209.0,234.0,0.1688220500946045,0.3035416603088379,0.06743097305297852
600,0.48291754722595215,0.10621285438537598,1.0,1.0,1.0,26.0,26.0,209.0,234.0,0.14151811599731445,0.21248435974121094,0.05757546424865723
700,0.528545618057251,0.11769938468933105,1.0,1.0,1.0,26.0,26.0,209.0,234.0,0.1675117015838623,0.22467756271362305,0.1739037036895752
800,0.5000255107879639,0.11019301414489746,1.0,1.0,1.0,27.0,27.0,190.0,214.0,0.16483736038208008,0.19614768028259277,0.05070352554321289
900,0.5112519264221191,0.12073421478271484,1.0,1.0,1.0,27.0,27.0,190.0,214.0,0.13034653663635254,0.2590932846069336,0.06109809875488281
1000,0.4944930076599121,0.10974931716918945,1.0,1.0,1.0,27.0,27.0,190.0,214.0,0.1393883228302002,0.21954131126403809,0.07438254356384277
1100,0.5770788192749023,0.1135873794555664,1.0,1.0,1.0,27.0,27.0,190.0,214.0,0.17543315887451172,0.24556612968444824,0.059563636779785156
1200,0.47327733039855957,0.1140432357788086,1.0,1.0,1.0,27.0,27.0,190.0,214.0,0.14507150650024414,0.18905997276306152,0.05253410339355469
1300,0.49480772018432617,0.11590766906738281,1.0,1.0,1.0,27.0,27.0,190.0,214.0,0.15217924118041992,0.20041275024414062,0.056276559829711914
1400,0.5694136619567871,0.14271235466003418,1.0,1.0,1.0,28.0,28.0,210.0,234.0,0.1671748161315918,0.2648656368255615,0.07591414451599121
1500,0.4988222122192383,0.11406230926513672,1.0,1.0,1.0,29.0,29.0,231.0,255.0,0.14809250831604004,0.21456170082092285,0.06919479370117188
1600,0.5429012775421143,0.11278462409973145,1.0,1.0,1.0,29.0,29.0,231.0,255.0,0.15654301643371582,0.2489466667175293,0.06659698486328125
1700,0.522273063659668,0.24233675003051758,1.0,1.0,1.0,29.0,29.0,231.0,255.0,0.14658617973327637,0.23549532890319824,0.07605528831481934
1800,0.5579447746276855,0.11417460441589355,1.0,1.0,1.0,29.0,29.0,231.0,255.0,0.1735231876373291,0.24220991134643555,0.06285572052001953
1900,0.5206863880157471,0.11484313011169434,1.0,1.0,1.0,29.0,29.0,231.0,255.0,0.14766454696655273,0.23033618927001953,0.06298470497131348
Average,0.506011,0.115746,1.0,1.0,1.0,26.4,26.4,203.95,228.3,0.148228,0.232585,0.069219
