window,TP,FP,FN,precision,recall,f1,latency_sec,fpg_latency_sec,apriori_cand_count,ml_candidate_count,num_generated,num_ground_truth
1000,25,0,4,1.0,0.8620689655172413,0.9259259259259259,0.2,0.01,66,58,25,29
1010,20,0,2,1.0,0.9090909090909091,0.9523809523809523,0.11,0.01,66,56,20,22
1020,20,0,3,1.0,0.8695652173913043,0.9302325581395349,0.1,0.01,66,56,20,23
1030,27,0,3,1.0,0.9,0.9473684210526316,0.13,0.01,66,59,27,30
1040,26,0,3,1.0,0.896551724137931,0.9454545454545454,0.13,0.01,66,59,26,29
1050,24,0,3,1.0,0.8888888888888888,0.9411764705882353,0.12,0.02,66,58,24,27
1060,28,0,4,1.0,0.875,0.9333333333333333,0.28,0.03,66,60,28,32
1070,30,0,6,1.0,0.8333333333333334,0.9090909090909091,0.27,0.03,66,62,30,36
1080,24,0,5,1.0,0.8275862068965517,0.9056603773584906,0.21,0.02,66,57,24,29
1090,25,0,3,1.0,0.8928571428571429,0.9433962264150945,0.22,0.02,66,57,25,28
1100,23,0,3,1.0,0.8846153846153846,0.9387755102040816,0.21,0.02,66,57,23,26
1110,23,0,2,1.0,0.92,0.9583333333333334,0.25,0.02,55,52,23,25
1120,25,0,2,1.0,0.9259259259259259,0.9615384615384615,0.28,0.05,55,55,25,27
1130,23,0,2,1.0,0.92,0.9583333333333334,1.05,0.03,45,51,23,25
1140,23,0,1,1.0,0.9583333333333334,0.9787234042553191,0.34,0.03,55,58,23,24
1150,22,0,1,1.0,0.9565217391304348,0.9777777777777777,0.27,0.02,55,57,22,23
1160,19,0,1,1.0,0.95,0.9743589743589743,0.2,0.02,45,48,19,20
1170,18,0,1,1.0,0.9473684210526315,0.972972972972973,0.27,0.02,45,47,18,19
1180,17,0,0,1.0,1.0,1.0,0.2,0.02,45,47,17,17
1190,18,0,2,1.0,0.9,0.9473684210526316,0.18,0.02,45,46,18,20
1200,19,0,0,1.0,1.0,1.0,0.19,0.02,45,47,19,19
1210,22,0,1,1.0,0.9565217391304348,0.9777777777777777,0.2,0.02,45,52,22,23
1220,18,0,1,1.0,0.9473684210526315,0.972972972972973,0.16,0.02,45,46,18,19
1230,15,0,0,1.0,1.0,1.0,0.16,0.01,45,45,15,15
1240,16,0,1,1.0,0.9411764705882353,0.9696969696969697,0.14,0.02,45,45,16,17
1250,16,0,1,1.0,0.9411764705882353,0.9696969696969697,0.15,0.02,45,46,16,17
1260,17,0,1,1.0,0.9444444444444444,0.9714285714285714,0.15,0.02,45,46,17,18
1270,16,0,1,1.0,0.9411764705882353,0.9696969696969697,0.21,0.02,45,45,16,17
1280,20,0,3,1.0,0.8695652173913043,0.9302325581395349,0.27,0.02,55,52,20,23
1290,17,0,3,1.0,0.85,0.9189189189189189,0.19,0.02,45,45,17,20
1300,22,0,3,1.0,0.88,0.9361702127659575,0.33,0.03,45,50,22,25
1310,21,0,3,1.0,0.875,0.9333333333333333,0.29,0.03,45,47,21,24
1320,21,0,5,1.0,0.8076923076923077,0.8936170212765957,0.38,0.03,45,47,21,26
1330,22,0,6,1.0,0.7857142857142857,0.88,0.28,0.03,55,54,22,28
1340,19,0,4,1.0,0.8260869565217391,0.9047619047619047,0.21,0.02,55,54,19,23
1350,19,0,4,1.0,0.8260869565217391,0.9047619047619047,0.19,0.02,55,54,19,23
1360,15,0,4,1.0,0.7894736842105263,0.8823529411764706,0.13,0.02,55,51,15,19
1370,14,0,2,1.0,0.875,0.9333333333333333,0.14,0.02,45,45,14,16
1380,13,0,1,1.0,0.9285714285714286,0.962962962962963,0.11,0.01,45,45,13,14
1390,15,0,2,1.0,0.8823529411764706,0.9375,0.14,0.02,55,51,15,17
