window,TP,FP,FN,precision,recall,f1,latency_sec,fpg_latency_sec,apriori_cand_count,ml_candidate_count,num_generated,num_ground_truth
1000,18,0,0,1.0,1.0,1.0,0.37,0.15,66,55,18,18
1010,17,0,0,1.0,1.0,1.0,0.27,0.15,66,55,17,17
1020,17,0,0,1.0,1.0,1.0,0.31,0.24,66,55,17,17
1030,18,0,0,1.0,1.0,1.0,0.65,0.16,66,55,18,18
1040,17,0,0,1.0,1.0,1.0,0.36,0.14,66,55,17,17
1050,17,0,0,1.0,1.0,1.0,0.35,0.14,66,55,17,17
1060,17,0,0,1.0,1.0,1.0,0.32,0.14,66,55,17,17
1070,17,0,0,1.0,1.0,1.0,0.32,0.13,66,55,17,17
1080,17,0,0,1.0,1.0,1.0,0.28,0.13,66,55,17,17
1090,17,0,0,1.0,1.0,1.0,0.29,0.13,66,55,17,17
1100,17,0,0,1.0,1.0,1.0,0.28,0.13,66,55,17,17
1110,17,0,0,1.0,1.0,1.0,0.27,0.12,66,55,17,17
1120,17,0,0,1.0,1.0,1.0,0.24,0.12,66,55,17,17
1130,17,0,0,1.0,1.0,1.0,0.23,0.12,66,55,17,17
1140,17,0,0,1.0,1.0,1.0,0.23,0.11,66,55,17,17
1150,17,0,0,1.0,1.0,1.0,0.23,0.11,66,55,17,17
1160,17,0,0,1.0,1.0,1.0,0.23,0.12,66,55,17,17
1170,17,0,0,1.0,1.0,1.0,0.24,0.12,66,55,17,17
1180,17,0,0,1.0,1.0,1.0,0.22,0.12,66,55,17,17
1190,18,0,0,1.0,1.0,1.0,0.28,0.13,66,55,18,18
1200,18,0,0,1.0,1.0,1.0,0.24,0.13,66,55,18,18
1210,18,0,0,1.0,1.0,1.0,0.29,0.12,66,55,18,18
1220,17,0,0,1.0,1.0,1.0,0.24,0.11,66,55,17,17
1230,17,0,0,1.0,1.0,1.0,0.24,0.12,66,55,17,17
1240,17,0,0,1.0,1.0,1.0,0.23,0.12,66,55,17,17
1250,17,0,0,1.0,1.0,1.0,0.24,0.12,66,55,17,17
1260,17,0,0,1.0,1.0,1.0,0.26,0.13,66,55,17,17
1270,17,0,0,1.0,1.0,1.0,0.29,0.14,66,55,17,17
1280,17,0,0,1.0,1.0,1.0,0.28,0.13,66,55,17,17
1290,17,0,0,1.0,1.0,1.0,0.28,0.13,66,55,17,17
1300,17,0,0,1.0,1.0,1.0,0.28,0.15,66,55,17,17
1310,17,0,0,1.0,1.0,1.0,0.3,0.14,66,55,17,17
1320,17,0,0,1.0,1.0,1.0,0.28,0.12,66,55,17,17
1330,17,0,0,1.0,1.0,1.0,0.27,0.12,66,55,17,17
1340,17,0,0,1.0,1.0,1.0,0.23,0.12,66,55,17,17
1350,17,0,0,1.0,1.0,1.0,0.28,0.13,66,55,17,17
1360,17,0,0,1.0,1.0,1.0,0.28,0.12,66,55,17,17
1370,17,0,0,1.0,1.0,1.0,0.31,0.15,66,55,17,17
1380,17,0,0,1.0,1.0,1.0,0.28,0.12,66,55,17,17
1390,17,0,0,1.0,1.0,1.0,0.23,0.11,66,55,17,17
